case_id,activity,timestamp,part_desc
Case 102,Round Grinding - Machine 3,2012-03-12 08:04:00,Spur Gear
Case 102,Round Grinding - Machine 3,2012-03-12 10:58:00,Spur Gear
Case 102,Round Grinding - Q.C.,2012-03-12 10:57:00,Spur Gear
Case 102,Final Inspection Q.C.,2012-03-12 17:00:00,Spur Gear
Case 102,Final Inspection Q.C.,2012-03-13 08:06:00,Spur Gear
Case 102,Packing,2012-03-14 01:00:00,Spur Gear
Case 103,Turning & Milling - Machine 8,2012-03-06 10:18:00,Adjusting Nut
Case 103,Turning & Milling - Machine 8,2012-03-08 06:51:00,Adjusting Nut
Case 103,Turning & Milling - Machine 8,2012-03-08 16:38:00,Adjusting Nut
Case 103,Turning & Milling - Machine 8,2012-03-09 04:35:00,Adjusting Nut
Case 103,Turning & Milling - Machine 8,2012-03-09 07:27:00,Adjusting Nut
Case 103,Turning & Milling Q.C.,2012-03-09 10:38:00,Adjusting Nut
Case 103,Turning & Milling - Machine 8,2012-03-09 10:27:00,Adjusting Nut
Case 103,Turning & Milling Q.C.,2012-03-11 08:16:00,Adjusting Nut
Case 103,Turning & Milling - Machine 8,2012-03-11 10:37:00,Adjusting Nut
Case 103,Turning & Milling - Machine 8,2012-03-11 11:48:00,Adjusting Nut
Case 103,Turning & Milling - Machine 8,2012-03-11 16:09:00,Adjusting Nut
Case 103,Turning & Milling - Machine 8,2012-03-11 18:35:00,Adjusting Nut
Case 103,Turning & Milling Q.C.,2012-03-12 08:28:00,Adjusting Nut
Case 103,Laser Marking - Machine 7,2012-03-13 10:46:00,Adjusting Nut
Case 103,Flat Grinding - Machine 11,2012-03-13 14:04:00,Adjusting Nut
Case 103,Final Inspection Q.C.,2012-03-13 17:57:00,Adjusting Nut
Case 103,Final Inspection Q.C.,2012-03-14 10:35:00,Adjusting Nut
Case 103,Final Inspection Q.C.,2012-03-14 12:04:00,Adjusting Nut
Case 103,Packing,2012-03-15 01:00:00,Adjusting Nut
Case 104,Turning & Milling - Machine 5,2012-03-20 02:26:00,Cable Head
Case 104,Turning & Milling - Machine 5,2012-03-20 06:41:00,Cable Head
Case 104,Turning & Milling - Machine 5,2012-03-20 11:07:00,Cable Head
Case 104,Turning & Milling Q.C.,2012-03-20 11:54:00,Cable Head
Case 104,Turning & Milling Q.C.,2012-03-21 07:41:00,Cable Head
Case 104,Laser Marking - Machine 7,2012-03-21 09:49:00,Cable Head
Case 105,Turning & Milling - Machine 4,2012-03-21 06:34:00,Bearing
Case 105,Turning & Milling - Machine 4,2012-03-21 10:31:00,Bearing
Case 106,Turning & Milling - Machine 8,2012-03-15 15:44:00,Ballnut
Case 106,Turning & Milling - Machine 8,2012-03-15 20:38:00,Ballnut
Case 106,Turning & Milling Q.C.,2012-03-19 07:28:00,Ballnut
Case 106,Laser Marking - Machine 7,2012-03-19 10:51:00,Ballnut
Case 106,Flat Grinding - Machine 11,2012-03-19 15:20:00,Ballnut
Case 106,Final Inspection Q.C.,2012-03-21 17:57:00,Ballnut
Case 106,Packing,2012-03-22 01:00:00,Ballnut
Case 106,Final Inspection Q.C.,2012-03-22 13:05:00,Ballnut
Case 107,Turning & Milling - Machine 10,2012-03-30 11:47:00,Cable Head
Case 108,Turning & Milling - Machine 4,2012-02-27 06:55:00,Bushing
Case 108,Turning & Milling - Machine 4,2012-02-27 09:13:00,Bushing
Case 108,Turning & Milling Q.C.,2012-02-27 08:40:00,Bushing
Case 108,Turning & Milling - Machine 4,2012-02-27 12:38:00,Bushing
Case 108,Turning & Milling Q.C.,2012-02-28 14:24:00,Bushing
Case 108,Laser Marking - Machine 7,2012-02-28 19:07:00,Bushing
Case 108,Flat Grinding - Machine 11,2012-02-29 01:15:00,Bushing
Case 108,Flat Grinding - Machine 11,2012-02-29 23:04:00,Bushing
Case 108,Lapping - Machine 1,2012-03-01 03:50:00,Bushing
Case 108,Lapping - Machine 1,2012-03-01 03:28:00,Bushing
Case 108,Round Grinding - Machine 3,2012-03-07 11:16:00,Bushing
Case 108,Round Grinding - Machine 3,2012-03-07 14:10:00,Bushing
Case 108,Round Grinding - Machine 3,2012-03-07 15:56:00,Bushing
Case 108,Round Grinding - Machine 3,2012-03-07 19:30:00,Bushing
Case 108,Final Inspection Q.C.,2012-03-08 15:52:00,Bushing
Case 108,Packing,2012-03-09 01:00:00,Bushing
Case 108,Final Inspection Q.C.,2012-03-09 09:27:00,Bushing
Case 109,Turning & Milling - Machine 4,2012-03-04 18:01:00,Electrical Contact
Case 109,Turning & Milling - Machine 4,2012-03-04 23:53:00,Electrical Contact
Case 109,Turning & Milling Q.C.,2012-03-05 01:15:00,Electrical Contact
Case 109,Turning & Milling - Machine 4,2012-03-05 01:08:00,Electrical Contact
Case 109,Turning & Milling - Machine 4,2012-03-05 06:43:00,Electrical Contact
Case 109,Turning & Milling - Machine 4,2012-03-05 09:41:00,Electrical Contact
Case 109,Turning & Milling Q.C.,2012-03-05 08:21:00,Electrical Contact
Case 109,Turning & Milling Q.C.,2012-03-05 10:23:00,Electrical Contact
Case 109,Laser Marking - Machine 7,2012-03-15 11:26:00,Electrical Contact
Case 109,Round Grinding - Machine 2,2012-03-21 06:22:00,Electrical Contact
Case 109,Round Grinding - Machine 2,2012-03-21 06:49:00,Electrical Contact
Case 109,Round Grinding - Machine 2,2012-03-21 12:08:00,Electrical Contact
Case 109,Round Grinding - Machine 2,2012-03-23 01:33:00,Electrical Contact
Case 109,Round Grinding - Machine 2,2012-03-23 04:08:00,Electrical Contact
Case 109,Final Inspection Q.C.,2012-03-23 10:50:00,Electrical Contact
Case 109,Packing,2012-03-25 01:00:00,Electrical Contact
Case 11,Turning & Milling - Machine 10,2012-01-15 23:40:00,Spur Gear
Case 11,Turning & Milling - Machine 10,2012-01-16 09:49:00,Spur Gear
Case 11,Turning & Milling Q.C.,2012-01-16 09:54:00,Spur Gear
Case 11,Turning & Milling - Machine 10,2012-01-16 16:22:00,Spur Gear
Case 11,Turning & Milling - Machine 10,2012-01-16 23:38:00,Spur Gear
Case 11,Turning & Milling - Machine 10,2012-01-17 06:37:00,Spur Gear
Case 11,Turning & Milling - Machine 10,2012-01-17 12:01:00,Spur Gear
Case 11,Turning & Milling Q.C.,2012-01-18 08:38:00,Spur Gear
Case 11,Turning & Milling - Machine 10,2012-01-18 09:50:00,Spur Gear
Case 11,Turning & Milling - Machine 10,2012-01-18 09:56:00,Spur Gear
Case 11,Turning & Milling - Machine 10,2012-01-18 15:32:00,Spur Gear
Case 11,Turning & Milling Q.C.,2012-01-18 11:29:00,Spur Gear
Case 11,Turning & Milling - Machine 9,2012-01-19 09:00:00,Spur Gear
Case 11,Turning & Milling - Machine 10,2012-01-19 16:00:00,Spur Gear
Case 11,Turning & Milling - Machine 10,2012-01-19 19:21:00,Spur Gear
Case 11,Laser Marking - Machine 7,2012-01-22 15:33:00,Spur Gear
Case 11,Turning & Milling Q.C.,2012-01-23 09:25:00,Spur Gear
Case 11,Laser Marking - Machine 7,2012-01-24 16:06:00,Spur Gear
Case 11,Packing,2012-01-25 01:00:00,Spur Gear
Case 11,Final Inspection Q.C.,2012-01-25 14:09:00,Spur Gear
Case 11,Turning & Milling Q.C.,2012-01-25 14:11:00,Spur Gear
Case 110,Turning & Milling - Machine 6,2012-03-01 06:35:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-01 12:36:00,Ballnut
Case 110,Turning & Milling Q.C.,2012-03-01 11:00:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-01 15:46:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-02 06:27:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-02 12:47:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-04 00:26:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-04 06:46:00,Ballnut
Case 110,Turning & Milling Q.C.,2012-03-04 07:51:00,Ballnut
Case 110,Turning & Milling Q.C.,2012-03-06 07:29:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-06 07:29:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-08 04:17:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-08 11:37:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-08 15:52:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-08 23:40:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-09 06:51:00,Ballnut
Case 110,Turning & Milling Q.C.,2012-03-09 07:32:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-09 12:27:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-11 10:54:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-11 06:35:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-11 16:09:00,Ballnut
Case 110,Turning & Milling Q.C.,2012-03-11 07:42:00,Ballnut
Case 110,Turning & Milling Q.C.,2012-03-11 09:17:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-11 20:12:00,Ballnut
Case 110,Turning & Milling Q.C.,2012-03-12 08:08:00,Ballnut
Case 110,Turning & Milling Q.C.,2012-03-12 09:28:00,Ballnut
Case 110,Turning & Milling Q.C.,2012-03-12 09:33:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-16 06:47:00,Ballnut
Case 110,Turning & Milling Q.C.,2012-03-16 08:32:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-16 12:49:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-18 11:30:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-18 02:26:00,Ballnut
Case 110,Laser Marking - Machine 7,2012-03-19 16:06:00,Ballnut
Case 110,Flat Grinding - Machine 11,2012-03-19 17:43:00,Ballnut
Case 110,Laser Marking - Machine 7,2012-03-19 22:32:00,Ballnut
Case 110,Turning & Milling Q.C.,2012-03-20 09:44:00,Ballnut
Case 110,Flat Grinding - Machine 11,2012-03-20 12:13:00,Ballnut
Case 110,Lapping - Machine 1,2012-03-20 11:58:00,Ballnut
Case 110,Turning & Milling Q.C.,2012-03-20 12:51:00,Ballnut
Case 110,Turning & Milling Q.C.,2012-03-20 13:41:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-22 11:51:00,Ballnut
Case 110,Turning & Milling Q.C.,2012-03-22 11:46:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-22 13:30:00,Ballnut
Case 110,Lapping - Machine 1,2012-03-22 14:33:00,Ballnut
Case 110,Lapping - Machine 1,2012-03-22 16:22:00,Ballnut
Case 110,Flat Grinding - Machine 11,2012-03-22 17:37:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-22 23:30:00,Ballnut
Case 110,Lapping - Machine 1,2012-03-23 01:15:00,Ballnut
Case 110,Turning & Milling Q.C.,2012-03-23 07:24:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-23 12:42:00,Ballnut
Case 110,Lapping - Machine 1,2012-03-23 11:39:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-24 07:00:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-25 12:58:00,Ballnut
Case 110,Turning & Milling - Machine 6,2012-03-25 03:35:00,Ballnut
Case 110,Lapping - Machine 1,2012-03-26 01:15:00,Ballnut
Case 110,Laser Marking - Machine 7,2012-03-26 07:16:00,Ballnut
Case 110,Lapping - Machine 1,2012-03-27 01:15:00,Ballnut
Case 110,Turning & Milling Q.C.,2012-03-28 09:48:00,Ballnut
Case 110,Round Grinding - Machine 3,2012-03-28 13:55:00,Ballnut
Case 110,Round Grinding - Machine 3,2012-03-28 15:57:00,Ballnut
Case 110,Round Grinding - Machine 3,2012-03-28 20:12:00,Ballnut
Case 110,Round Grinding - Machine 3,2012-03-29 05:26:00,Ballnut
Case 110,Packing,2012-03-29 01:00:00,Ballnut
Case 110,Packing,2012-03-29 01:00:00,Ballnut
Case 110,Round Grinding - Machine 3,2012-03-29 06:50:00,Ballnut
Case 110,Round Grinding - Machine 3,2012-03-29 09:58:00,Ballnut
Case 110,Flat Grinding - Machine 11,2012-03-29 08:20:00,Ballnut
Case 110,Lapping - Machine 1,2012-03-29 09:36:00,Ballnut
Case 110,Final Inspection Q.C.,2012-03-29 10:29:00,Ballnut
Case 110,Round Grinding - Machine 3,2012-03-29 15:43:00,Ballnut
Case 110,Round Grinding - Machine 3,2012-03-29 17:53:00,Ballnut
Case 110,Packing,2012-03-30 01:00:00,Ballnut
Case 110,Final Inspection Q.C.,2012-03-30 10:28:00,Ballnut
Case 111,Turning - Machine 4,2012-03-13 00:13:00,Cable Head
Case 111,Turning - Machine 4,2012-03-13 06:39:00,Cable Head
Case 111,Turning - Machine 4,2012-03-13 16:10:00,Cable Head
Case 111,Turning - Machine 4,2012-03-13 19:42:00,Cable Head
Case 111,Turning - Machine 4,2012-03-14 06:45:00,Cable Head
Case 111,Turning - Machine 4,2012-03-14 10:59:00,Cable Head
Case 111,Turning Q.C.,2012-03-14 15:05:00,Cable Head
Case 111,Turning & Milling - Machine 4,2012-03-22 17:50:00,Cable Head
Case 111,Turning & Milling - Machine 4,2012-03-23 07:00:00,Cable Head
Case 111,Turning & Milling - Machine 4,2012-03-23 12:41:00,Cable Head
Case 111,Turning - Machine 4,2012-03-23 12:41:00,Cable Head
Case 111,Turning - Machine 4,2012-03-24 15:53:00,Cable Head
Case 111,Turning & Milling - Machine 4,2012-03-24 15:52:00,Cable Head
Case 111,Turning & Milling - Machine 4,2012-03-25 06:45:00,Cable Head
Case 111,Turning & Milling - Machine 4,2012-03-25 15:32:00,Cable Head
Case 111,Turning & Milling - Machine 4,2012-03-26 06:43:00,Cable Head
Case 111,Turning & Milling Q.C.,2012-03-26 09:22:00,Cable Head
Case 111,Laser Marking - Machine 7,2012-03-26 16:00:00,Cable Head
Case 111,Laser Marking - Machine 7,2012-03-26 17:43:00,Cable Head
Case 111,Turning & Milling - Machine 4,2012-03-27 07:52:00,Cable Head
Case 111,Turning & Milling Q.C.,2012-03-27 07:35:00,Cable Head
Case 111,Turning & Milling Q.C.,2012-03-27 10:59:00,Cable Head
Case 111,Turning & Milling - Machine 4,2012-03-28 06:56:00,Cable Head
Case 111,Laser Marking - Machine 7,2012-03-27 13:26:00,Cable Head
Case 112,Turning & Milling - Machine 9,2012-03-08 06:51:00,Ballnut
Case 112,Turning & Milling - Machine 9,2012-03-13 17:48:00,Ballnut
Case 112,Turning & Milling - Machine 9,2012-03-13 23:10:00,Ballnut
Case 112,Turning & Milling Q.C.,2012-03-14 08:40:00,Ballnut
Case 112,Turning & Milling - Machine 9,2012-03-14 09:02:00,Ballnut
Case 112,Turning & Milling - Machine 9,2012-03-14 13:21:00,Ballnut
Case 112,Turning & Milling - Machine 9,2012-03-14 17:51:00,Ballnut
Case 112,Turning & Milling - Machine 9,2012-03-15 06:48:00,Ballnut
Case 112,Turning & Milling - Machine 9,2012-03-15 09:43:00,Ballnut
Case 112,Turning & Milling - Machine 9,2012-03-15 17:22:00,Ballnut
Case 112,Turning & Milling - Machine 9,2012-03-16 06:47:00,Ballnut
Case 112,Turning & Milling - Machine 9,2012-03-18 06:50:00,Ballnut
Case 112,Turning & Milling Q.C.,2012-03-18 12:33:00,Ballnut
Case 112,Turning & Milling Q.C.,2012-03-18 12:33:00,Ballnut
Case 112,Laser Marking - Machine 7,2012-03-18 14:55:00,Ballnut
Case 112,Lapping - Machine 1,2012-03-18 18:10:00,Ballnut
Case 112,Turning & Milling - Machine 10,2012-03-19 00:19:00,Ballnut
Case 112,Turning & Milling - Machine 10,2012-03-19 03:10:00,Ballnut
Case 112,Turning & Milling - Machine 10,2012-03-19 06:46:00,Ballnut
Case 112,Turning & Milling - Machine 10,2012-03-19 16:39:00,Ballnut
Case 112,Turning & Milling - Machine 10,2012-03-20 06:48:00,Ballnut
Case 112,Turning & Milling - Machine 10,2012-03-20 17:52:00,Ballnut
Case 112,Final Inspection Q.C.,2012-03-20 13:30:00,Ballnut
Case 112,Final Inspection Q.C.,2012-03-20 16:33:00,Ballnut
Case 112,Turning & Milling - Machine 10,2012-03-21 03:29:00,Ballnut
Case 112,Packing,2012-03-21 01:00:00,Ballnut
Case 112,Packing,2012-03-21 01:00:00,Ballnut
Case 112,Turning & Milling Q.C.,2012-03-21 10:00:00,Ballnut
Case 112,Laser Marking - Machine 7,2012-03-21 12:32:00,Ballnut
Case 112,Turning & Milling - Machine 10,2012-03-21 17:43:00,Ballnut
Case 112,Turning & Milling - Machine 10,2012-03-22 05:32:00,Ballnut
Case 112,Grinding Rework,2012-03-22 08:42:00,Ballnut
Case 112,Grinding Rework,2012-03-22 12:22:00,Ballnut
Case 112,Lapping - Machine 1,2012-03-22 14:33:00,Ballnut
Case 112,Final Inspection Q.C.,2012-03-25 16:03:00,Ballnut
Case 112,Packing,2012-03-29 01:00:00,Ballnut
Case 112,Final Inspection Q.C.,2012-03-29 09:34:00,Ballnut
Case 113,SETUP     Turning & Milling - Machine 5,2012-03-15 06:49:00,Cable Head
Case 113,Turning & Milling - Machine 5,2012-03-15 15:56:00,Cable Head
Case 113,Turning & Milling Q.C.,2012-03-16 11:04:00,Cable Head
Case 113,Laser Marking - Machine 7,2012-03-16 11:39:00,Cable Head
Case 114,Turning & Milling - Machine 6,2012-02-29 06:53:00,Ballnut
Case 114,Turning & Milling Q.C.,2012-02-29 08:19:00,Ballnut
Case 114,Turning & Milling - Machine 6,2012-02-29 08:01:00,Ballnut
Case 114,Turning & Milling - Machine 6,2012-03-01 03:48:00,Ballnut
Case 114,Turning & Milling Q.C.,2012-03-05 01:15:00,Ballnut
Case 114,Turning & Milling Q.C.,2012-03-05 17:41:00,Ballnut
Case 114,Turning & Milling Q.C.,2012-03-07 08:04:00,Ballnut
Case 115,Turning & Milling - Machine 4,2012-03-05 16:01:00,Ballnut
Case 115,Turning & Milling - Machine 4,2012-03-06 06:29:00,Ballnut
Case 115,Turning & Milling - Machine 4,2012-03-06 08:35:00,Ballnut
Case 115,Turning & Milling - Machine 4,2012-03-06 09:48:00,Ballnut
Case 115,Turning & Milling - Machine 4,2012-03-06 13:48:00,Ballnut
Case 115,Turning & Milling Q.C.,2012-03-06 12:00:00,Ballnut
Case 115,Turning & Milling Q.C.,2012-03-06 12:50:00,Ballnut
Case 115,Flat Grinding - Machine 11,2012-03-08 15:52:00,Ballnut
Case 115,Flat Grinding - Machine 11,2012-03-09 01:15:00,Ballnut
Case 115,Flat Grinding - Machine 11,2012-03-09 10:17:00,Ballnut
Case 115,Turning & Milling Q.C.,2012-03-11 08:00:00,Ballnut
Case 115,Lapping - Machine 1,2012-03-11 11:14:00,Ballnut
Case 115,Round Grinding - Machine 2,2012-03-11 22:49:00,Ballnut
Case 115,Round Grinding - Machine 2,2012-03-11 23:50:00,Ballnut
Case 115,Round Grinding - Machine 2,2012-03-12 07:00:00,Ballnut
Case 115,Round Grinding - Q.C.,2012-03-12 07:51:00,Ballnut
Case 115,Round Grinding - Machine 2,2012-03-12 15:45:00,Ballnut
Case 115,Round Grinding - Machine 2,2012-03-12 17:05:00,Ballnut
Case 115,Round Grinding - Machine 2,2012-03-12 18:16:00,Ballnut
Case 115,Round Grinding - Q.C.,2012-03-21 12:40:00,Ballnut
Case 115,Laser Marking - Machine 7,2012-03-21 14:24:00,Ballnut
Case 115,Final Inspection Q.C.,2012-03-25 10:00:00,Ballnut
Case 115,Packing,2012-03-26 01:00:00,Ballnut
Case 116,Round Grinding - Manual,2012-02-22 11:29:00,Clamp
Case 116,Round Grinding - Manual,2012-02-22 16:37:00,Clamp
Case 116,Round Grinding - Manual,2012-02-22 19:38:00,Clamp
Case 116,Packing,2012-02-23 01:00:00,Clamp
Case 116,Round Grinding - Manual,2012-02-23 09:04:00,Clamp
Case 116,Final Inspection Q.C.,2012-02-23 08:40:00,Clamp
Case 116,Round Grinding - Manual,2012-02-23 15:47:00,Clamp
Case 116,Round Grinding - Manual,2012-02-26 23:51:00,Clamp
Case 116,Round Grinding - Manual,2012-02-27 23:29:00,Clamp
Case 116,Round Grinding - Manual,2012-02-28 17:06:00,Clamp
Case 116,Packing,2012-02-29 01:00:00,Clamp
Case 116,Final Inspection Q.C.,2012-02-29 07:59:00,Clamp
Case 117,Packing,2012-02-23 01:00:00,Wheel Shaft
Case 117,Packing,2012-02-23 01:00:00,Wheel Shaft
Case 117,Final Inspection - Weighting,2012-02-23 11:01:00,Wheel Shaft
Case 118,Turning & Milling - Machine 6,2012-03-25 01:15:00,Ballnut
Case 118,Turning & Milling - Machine 6,2012-03-28 22:11:00,Ballnut
Case 118,Turning & Milling - Machine 6,2012-03-29 01:29:00,Ballnut
Case 118,Turning & Milling Q.C.,2012-03-30 11:41:00,Ballnut
