case_id;activity;timestamp;org:resource
8;Turning Process;2024-04-17 05:18:00+01:00;Sara
8;Milling Process;2024-04-17 08:18:00+01:00;Sean
8;Deburring & Finishing;2024-04-17 09:06:00+01:00;Sue
8;CNC Programming;2024-04-19 07:43:00+01:00;Mike
8;Turning Process;2024-04-20 05:55:00+01:00;Sara
8;Final Inspection;2024-04-26 06:45:00+01:00;Jake
9;Material Preparation;2024-04-21 09:32:00+01:00;Pete
9;CNC Programming;2024-04-21 10:12:00+01:00;Mike
9;Initial Quality Check;2024-04-21 12:16:00+01:00;Ellen
9;Turning Process;2024-04-27 09:22:00+01:00;Sara
9;Final Inspection;2024-04-30 10:05:00+01:00;Jake
10;Material Preparation;2024-04-12 21:32:00+01:00;Pete
10;CNC Programming;2024-04-12 22:12:00+01:00;Mike
10;Initial Quality Check;2024-04-13 00:16:00+01:00;Ellen
10;Turning Process;2024-04-18 21:22:00+01:00;Sara
10;Final Inspection;2024-04-21 22:05:00+01:00;Jake
11;Material Preparation;2024-04-26 07:02:00+01:00;Pete
11;Deburring & Finishing;2024-04-27 06:06:00+01:00;Sue
11;CNC Programming;2024-05-02 11:12:00+01:00;Mike
11;Turning Process;2024-05-03 07:18:00+01:00;Sara
11;Packaging & Shipping;2024-05-04 10:24:00+01:00;Anna
12;Material Preparation;2024-02-21 13:02:00+01:00;Pete
12;Deburring & Finishing;2024-02-22 12:06:00+01:00;Sue
12;CNC Programming;2024-02-27 17:12:00+01:00;Mike
12;Turning Process;2024-02-28 13:18:00+01:00;Sara
12;Packaging & Shipping;2024-02-29 16:24:00+01:00;Anna
13;Material Preparation;2024-02-27 11:02:00+01:00;Pete
13;Initial Quality Check;2024-02-27 12:06:00+01:00;Ellen
13;CNC Programming;2024-02-28 12:22:00+01:00;Mike
13;Turning Process;2024-02-28 12:52:00+01:00;Sara
13;Final Inspection;2024-03-08 07:47:00+01:00;Jake
14;Material Preparation;2024-02-07 14:02:00+01:00;Pete
14;Initial Quality Check;2024-02-07 15:06:00+01:00;Ellen
14;CNC Programming;2024-02-08 15:22:00+01:00;Mike
14;Turning Process;2024-02-08 15:52:00+01:00;Sara
14;Final Inspection;2024-02-17 10:47:00+01:00;Jake
15;Material Preparation;2024-03-05 14:02:00+01:00;Pete
15;Initial Quality Check;2024-03-06 15:16:00+01:00;Ellen
15;CNC Programming;2024-03-07 16:22:00+01:00;Mike
15;Turning Process;2024-03-09 18:28:00+01:00;Sara
15;Milling Process;2024-03-10 21:18:00+01:00;Sean
15;CNC Programming;2024-03-13 19:33:00+01:00;Mike
15;Initial Quality Check;2024-03-15 20:50:00+01:00;Ellen
15;Turning Process;2024-03-18 16:18:00+01:00;Sara
15;Milling Process;2024-03-19 17:48:00+01:00;Sean
15;Initial Quality Check;2024-03-20 14:06:00+01:00;Ellen
15;CNC Programming;2024-03-20 16:34:00+01:00;Mike
15;Turning Process;2024-03-22 18:12:00+01:00;Sara
15;Packaging & Shipping;2024-03-23 19:56:00+01:00;Anna
16;Material Preparation;2024-02-07 05:02:00+01:00;Pete
16;Initial Quality Check;2024-02-08 06:16:00+01:00;Ellen
16;CNC Programming;2024-02-09 07:22:00+01:00;Mike
16;Turning Process;2024-02-11 09:28:00+01:00;Sara
16;Milling Process;2024-02-12 12:18:00+01:00;Sean
16;CNC Programming;2024-02-15 10:33:00+01:00;Mike
16;Initial Quality Check;2024-02-17 11:50:00+01:00;Ellen
16;Turning Process;2024-02-20 07:18:00+01:00;Sara
16;Milling Process;2024-02-21 08:48:00+01:00;Sean
16;Initial Quality Check;2024-02-22 05:06:00+01:00;Ellen
16;CNC Programming;2024-02-22 07:34:00+01:00;Mike
16;Turning Process;2024-02-24 09:12:00+01:00;Sara
16;Packaging & Shipping;2024-02-25 10:56:00+01:00;Anna
17;Material Preparation;2024-03-09 02:02:00+01:00;Pete
17;CNC Programming;2024-03-09 23:06:00+01:00;Mike
17;Deburring & Finishing;2024-03-11 01:43:00+01:00;Sue
17;Turning Process;2024-03-11 23:02:00+01:00;Sara
17;Packaging & Shipping;2024-03-15 02:44:00+01:00;Anna
18;Material Preparation;2024-04-03 12:02:00+01:00;Pete
18;CNC Programming;2024-04-04 09:06:00+01:00;Mike
18;Deburring & Finishing;2024-04-05 11:43:00+01:00;Sue
18;Turning Process;2024-04-06 09:02:00+01:00;Sara
18;Packaging & Shipping;2024-04-09 12:44:00+01:00;Anna
19;Material Preparation;2024-02-11 14:49:00+01:00;Pete
19;Initial Quality Check;2024-02-13 01:49:00+01:00;Ellen
19;CNC Programming;2024-02-13 15:49:00+01:00;Mike
19;Milling Process;2024-02-13 20:49:00+01:00;Sean
19;Deburring & Finishing;2024-02-15 21:49:00+01:00;Jake
19;Turning Process;2024-02-18 18:49:00+01:00;Sara
19;Packaging & Shipping;2024-02-21 18:49:00+01:00;Anna
19;Final Inspection;2024-02-23 13:49:00+01:00;Sue
20;Material Preparation;2024-07-29 02:10:00+01:00;Pete
20;Initial Quality Check;2024-07-30 22:10:00+01:00;Ellen
20;CNC Programming;2024-08-02 22:10:00+01:00;Mike
20;Milling Process;2024-08-04 17:10:00+01:00;Sean
20;Deburring & Finishing;2024-08-06 01:10:00+01:00;Jake
20;Turning Process;2024-08-06 22:10:00+01:00;Sara
20;Packaging & Shipping;2024-08-06 23:10:00+01:00;Anna
20;Final Inspection;2024-08-09 07:10:00+01:00;Sue
21;Material Preparation;2024-03-20 15:04:00+01:00;Pete
21;Initial Quality Check;2024-03-22 08:04:00+01:00;Ellen
21;CNC Programming;2024-03-24 18:04:00+01:00;Mike
21;Milling Process;2024-03-25 08:04:00+01:00;Sean
21;Deburring & Finishing;2024-03-25 14:04:00+01:00;Jake
21;Turning Process;2024-03-26 02:04:00+01:00;Sara
21;Packaging & Shipping;2024-03-26 21:04:00+01:00;Anna
21;Final Inspection;2024-03-27 14:04:00+01:00;Sue
22;Material Preparation;2024-02-13 04:36:00+01:00;Pete
22;CNC Programming;2024-02-14 14:36:00+01:00;Mike
22;Turning Process;2024-02-17 03:36:00+01:00;Sara
22;Final Inspection;2024-02-17 08:36:00+01:00;Sue
23;Material Preparation;2024-06-14 06:51:00+01:00;Pete
23;CNC Programming;2024-06-15 09:51:00+01:00;Mike
23;Turning Process;2024-06-18 05:51:00+01:00;Sara
23;Final Inspection;2024-06-19 22:51:00+01:00;Sue
24;Material Preparation;2024-02-16 13:27:00+01:00;Pete
24;CNC Programming;2024-02-19 04:27:00+01:00;Mike
24;Turning Process;2024-02-21 23:27:00+01:00;Sara
24;Final Inspection;2024-02-24 05:27:00+01:00;Sue
25;Material Preparation;2024-07-18 08:54:00+01:00;Pete
25;CNC Programming;2024-07-18 19:54:00+01:00;Mike
25;Turning Process;2024-07-21 10:54:00+01:00;Sara
25;Milling Process;2024-07-22 20:54:00+01:00;Sean
25;Final Inspection;2024-07-23 18:54:00+01:00;Sue
26;Material Preparation;2024-07-12 02:25:00+01:00;Pete
26;CNC Programming;2024-07-14 13:25:00+01:00;Mike
26;Turning Process;2024-07-16 15:25:00+01:00;Sara
26;Milling Process;2024-07-18 11:25:00+01:00;Sean
26;Final Inspection;2024-07-18 14:25:00+01:00;Sue
27;Material Preparation;2024-05-21 08:53:00+01:00;Pete
27;CNC Programming;2024-05-21 10:53:00+01:00;Mike
27;Turning Process;2024-05-23 08:53:00+01:00;Sara
27;Milling Process;2024-05-24 14:53:00+01:00;Sean
27;Final Inspection;2024-05-26 18:53:00+01:00;Sue
28;Material Preparation;2024-10-18 21:40:00+01:00;Pete
28;Initial Quality Check;2024-10-21 13:40:00+01:00;Ellen
28;CNC Programming;2024-10-22 19:40:00+01:00;Mike
28;Turning Process;2024-10-25 17:40:00+01:00;Sara
28;Packaging & Shipping;2024-10-28 07:40:00+01:00;Anna
29;Material Preparation;2024-04-07 17:28:00+01:00;Pete
29;Initial Quality Check;2024-04-10 05:28:00+01:00;Ellen
29;CNC Programming;2024-04-10 11:28:00+01:00;Mike
29;Turning Process;2024-04-10 13:28:00+01:00;Sara
29;Packaging & Shipping;2024-04-11 07:28:00+01:00;Anna
30;Material Preparation;2024-09-09 06:16:00+01:00;Pete
30;Initial Quality Check;2024-09-10 17:16:00+01:00;Ellen
30;CNC Programming;2024-09-13 01:16:00+01:00;Mike
30;Turning Process;2024-09-15 07:16:00+01:00;Sara
30;Packaging & Shipping;2024-09-15 08:16:00+01:00;Anna
